"1988 Komori Lithrone L226 2 Color Offset Press with Infrared Drying System, High Pile Feeder and Delivery, Manuals, Press Tools, 5 Carts and Delivery Pile Racks - Monterey, CA - Click for Video","$10,120.00 ",6/30/2016,WireBids,"$9,200.00 ",10.00%,'297,https://www.wirebids.com/lots/view/1988-komori-lithrone-l226-2-color-offset-press-with-infrared-drying-system-high-pile-feeder-and-delivery-manuals-press-tools-5-carts-and-delivery-pile-racks-monterey-ca-click-for-video/27016
"Dexter Unitized 20 Buckle Folder Model DU2092 - Monterey, CA - Click for Video!",$616.00 ,6/30/2016,WireBids,$560.00 ,10.00%,'163,https://www.wirebids.com/lots/view/dexter-unitized-20-buckle-folder-model-du2092-monterey-ca-click-for-video-/27018
"Muller Martini Model 1509 6 Pocket Saddle Stitcher w/Three Knife Trimmer, Twin Feeders, Belt Delivery w/ Counter, Heavy Duty Stitching Heads - Monterey, CA - Click for Video!","$2,255.00 ",6/30/2016,WireBids,"$2,050.00 ",10.00%,'928035,https://www.wirebids.com/lots/view/muller-martini-model-1509-6-pocket-saddle-stitcher-w-three-knife-trimmer-twin-feeders-belt-delivery-w-counter-heavy-duty-stitching-heads-monterey-ca-click-for-video/27017
"1999 Heidelberg QMDI 46-4, Fremont, CA","$5,720.00 ",6/30/2016,WireBids,"$5,200.00 ",10.00%,-,https://www.wirebids.com/lots/view/1999-heidelberg-qmdi-46-4-fremont-ca/27000
"2000 Heidelberg QMDI 46-4, Fremont, CA","$7,700.00 ",6/30/2016,WireBids,"$7,000.00 ",10.00%,-,https://www.wirebids.com/lots/view/2000-heidelberg-qmdi-46-4-fremont-ca/27001
"2013 Xerox 770 Copier - Fremont, CA","$5,830.00 ",6/30/2016,WireBids,"$5,300.00 ",10.00%,'CX0060531,https://www.wirebids.com/lots/view/2013-xerox-770-copier-fremont-ca/27337
"2007 Canon imagePRESS C7000VP Color Sheetfed Digital Press - Brooklyn, NY",$803.00 ,6/30/2016,WireBids,$730.00 ,10.00%,'KTL 00154,https://www.wirebids.com/lots/view/2007-canon-imagepress-c7000vp-color-sheetfed-digital-press-brooklyn-ny/27005
"2007 Konica Minolta Bizhub 1050E - Brooklyn, NY",$550.00 ,6/30/2016,WireBids,$500.00 ,10.00%,-,https://www.wirebids.com/lots/view/2007-konica-minolta-bizhub-1050e-brooklyn-ny/27004
"Therm-O-Type 450 Thermography Machine - Goshen, NY",$825.00 ,6/30/2016,WireBids,$750.00 ,10.00%,'8521,https://www.wirebids.com/lots/view/therm-o-type-450-thermography-machine-goshen-ny/27010
"Challenge EH-3A Paper Drill - Goshen, NY",$396.00 ,6/30/2016,WireBids,$360.00 ,10.00%,'66114,https://www.wirebids.com/lots/view/challenge-eh-3a-paper-drill-goshen-ny/27012
"1999 MultiGraphics Platemaker SP 990 EI - Goshen, NY",$275.00 ,6/30/2016,WireBids,$250.00 ,10.00%,'940677,https://www.wirebids.com/lots/view/1999-multigraphics-platemaker-sp-990-ei-goshen-ny/27009
"HP Indigo 3500  - Irvine, CA","$3,410.00 ",6/30/2016,WireBids,"$3,100.00 ",10.00%,-,https://www.wirebids.com/lots/view/hp-indigo-3500-irvine-ca-1/27316
"Challenge 5-Hole Drill MS-5 - Butler, PA","$1,155.00 ",6/30/2016,WireBids,"$1,050.00 ",10.00%,'74224,https://www.wirebids.com/lots/view/challenge-5-hole-drill-ms-5-butler-pa/27029
"Xerox Phaser 7760 - Butler, PA",$221.10 ,6/30/2016,WireBids,$201.00 ,10.00%,-,https://www.wirebids.com/lots/view/xerox-phaser-7760-butler-pa/27028
"OFM Turbo Folder - St. Petersburg, FL",$462.00 ,6/30/2016,WireBids,$420.00 ,10.00%,'001991,https://www.wirebids.com/lots/view/ofm-turbo-folder-st-petersburg-fl/27030
"HP DesignJet 9000s - West Haven, CT",$407.00 ,6/30/2016,WireBids,$370.00 ,10.00%,'JP86A41002,https://www.wirebids.com/lots/view/hp-designjet-9000s-west-haven-ct/27033
"Island Clean Air Duster 2000 CFM - West Haven, CT",$550.00 ,6/30/2016,WireBids,$500.00 ,10.00%,'2-0811-1801,https://www.wirebids.com/lots/view/island-clean-air-duster-2000-cfm-west-haven-ct/27031
"2006 Bell & Howell / Enduro Inserting Machine - Earth City, MO","$2,200.00 ",6/30/2016,WireBids,"$2,000.00 ",10.00%,'40000333,https://www.wirebids.com/lots/view/2006-bell-howell-enduro-inserting-machine-earth-city-mo/27027
"2001 Heidelberg QMDI 46-4 Plus - Franklin, CT","$2,805.00 ",6/30/2016,WireBids,"$2,550.00 ",10.00%,'991545,https://www.wirebids.com/lots/view/2001-heidelberg-qmdi-46-4-plus-franklin-ct-1/27002
"2004 Presstek DI 5634 Kodak/Ryobi Press - Franklin, CT","$26,510.00 ",6/30/2016,WireBids,"$24,100.00 ",10.00%,'2082,https://www.wirebids.com/lots/view/2004-presstek-di-5634-kodak-ryobi-press-franklin-ct-1/27003
"Scott Model 1800 Plastic Index Tab Machine - South Lebanon, OH",$473.00 ,6/30/2016,WireBids,$430.00 ,10.00%,-,https://www.wirebids.com/lots/view/scott-model-1800-plastic-index-tab-machine-south-lebanon-oh/27013
"Fastback Model 15 and PowisPrinter Parker Model 31 with Keyboard, Manuals, Software, Cables, Binding Straps - South Lebanon, OH",$550.00 ,6/30/2016,WireBids,$500.00 ,10.00%,'02335,https://www.wirebids.com/lots/view/fastback-model-15-and-powisprinter-parker-model-31-with-keyboard-manuals-software-cables-binding-straps-south-lebanon-oh/27014
"Scott Index Tabcutting Machine - Heavy Duty Model - South Lebanon, OH","$1,870.00 ",6/30/2016,WireBids,"$1,700.00 ",10.00%,'8T062973,https://www.wirebids.com/lots/view/scott-index-tabcutting-machine-heavy-duty-model-south-lebanon-oh/27020
"Duplo Collator 10000S, Two Towers (20 Pockets Total) Cover Inserter and Stacker - Orange Park, FL","$2,200.00 ",6/30/2016,WireBids,"$2,000.00 ",10.00%,-,https://www.wirebids.com/lots/view/duplo-collator-10000s-two-towers-20-pockets-total-cover-inserter-and-stacker-orange-park-fl-/27025
"Renz RSB 360 Semi-automatic Wire Binder - Orange Park, FL",$979.00 ,6/30/2016,WireBids,$890.00 ,10.00%,-,https://www.wirebids.com/lots/view/renz-rsb-360-semi-automatic-wire-binder-orange-park-fl/27287
"James Burn WOB3500 Semi-Automatic Wire-O-Binder - Orange Park, FL - Click here for Video!","$11,000.00 ",6/30/2016,WireBids,"$10,000.00 ",10.00%,-,https://www.wirebids.com/lots/view/james-burn-wob3500-semi-automatic-wire-o-binder-orange-park-fl-click-here-for-video/27288
"HP Indigo 3050 with Donaldson Chiller - Cave Junction, OR","$6,765.00 ",6/30/2016,WireBids,"$6,150.00 ",10.00%,'IL-22000749,https://www.wirebids.com/lots/view/hp-indigo-3050-with-donaldson-chiller-cave-junction-or/27026
"Epson Stylus Pro GS6000 - Winona, MN",$248.60 ,6/30/2016,WireBids,$226.00 ,10.00%,-,https://www.wirebids.com/lots/view/epson-stylus-pro-gs6000-winona-mn/27038
"Epson Stylus Pro 11880 Wide Format Printer - Winona, MN",$770.00 ,6/30/2016,WireBids,$700.00 ,10.00%,-,https://www.wirebids.com/lots/view/epson-stylus-pro-11880-wide-format-printer-winona-mn/27165
"HP DesignJet 5000 Wide Format Printer - Winona, MN",$265.10 ,6/30/2016,WireBids,$241.00 ,10.00%,-,https://www.wirebids.com/lots/view/hp-designjet-5000-wide-format-printer-winona-mn/27166
"Gardner Denver Compressed Air Dryer - Winona, MN",$440.00 ,6/30/2016,WireBids,$400.00 ,10.00%,'1000002764929,https://www.wirebids.com/lots/view/gardner-denver-compressed-air-dryer-winona-mn/27167
